reason,confirmation_code
Failed first attention check,7505316
Failed first attention check,9081253
Failed first attention check,4187718
Failed first attention check,8743916
Failed first attention check,1995611
Failed first attention check,8803599
Failed first attention check,4885480
Failed first attention check,3530823
Failed first attention check,5403333
Failed first attention check,5857679
Failed first attention check,4546921
Failed first attention check,8664833
Took survey outisde of MTurk,5095891
Took survey outisde of MTurk,8975684
Took survey outisde of MTurk,6125566
