id,confirmation_code,duration,start_date,end_date,crackdown,issue,funding,Q1.2,Q1.3,favor_humanitarian,favor_human_rights,favor_development,donate_likely,amount_donate,amount_keep,amount_why,give_charity,volunteer,political_knowledge,ideology,education,religiosity,Q3.8,gender,gender_other,income,age,attention1_correct,attention2_correct,check1,check2,donate_likely_bin,favor_humanitarian_bin,favor_human_rights_bin,favor_development_bin,give_charity_3,give_charity_2,political_knowledge_bin,ideology_3,ideology_bin,education_bin,religiosity_bin,income_clean,income_bin,age_bin,gender_bin
R_1M0Pke1okOWke7S,2159867,216,2018-03-22T12:42:37Z,2018-03-22T12:46:14Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,I want the most for myself.,Never,No,Some of the time,Independent,2 year degree,Never,Blue,Male,,"$90,000 – $99,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Independent,Not liberal,No BA,Rarely,"$90,000 – $99,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_Djx9YSHPkV0Nv0d,7425544,83,2018-03-22T12:45:27Z,2018-03-22T12:46:50Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,5,95,Can afford to give a little,Never,No,Some of the time,Liberal,High school graduate,Never,Blue,Male,,"$10,000 – $19,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,No BA,Rarely,"$10,000 – $19,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_1CjZsMMT6em1ylS,8860706,51,2018-03-22T12:47:17Z,2018-03-22T12:48:08Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely unlikely,0,100,Because I would then have 100$ more dollars.,Never,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"$40,000 – $49,999",18 – 24,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,BA and above,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_2xLXX6pdjCTeM4s,4005408,168,2018-03-22T12:51:24Z,2018-03-22T12:54:13Z,No crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely unlikely,0,100,"I'm a broke boi. If anyone need humanitarian aid, it's me.",Never,No,Some of the time,Independent,4 year degree,Never,Blue,Male,,"$40,000 – $49,999",18 – 24,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Independent,Not liberal,BA and above,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_T1HTMkdDN4PlHVv,3000594,107,2018-03-22T13:12:23Z,2018-03-22T13:14:10Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,10,90,"I'm in a position where I would need the extra money, but I also wouldn't mind donating a relatively small percentage to this charity.",Once every six months,Yes,Most of the time,Liberal,Some college,Seldom,Blue,Male,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3HSSIaYoWmWLMce,3974544,124,2018-03-22T13:45:24Z,2018-03-22T13:47:29Z,Crackdown,Human rights,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,90,10,I think it is a worthy cause and I think donating 90% of the amount is acceptable.,Once a week,Yes,Some of the time,Strong liberal,Some college,Never,Blue,Male,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_8HUkhgzrxjQAQNP,7920246,289,2018-03-22T13:45:40Z,2018-03-22T13:50:29Z,No crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,50,50,I feel splitting it 50/50 would be a fair deal. I get to help make a difference for a good cause while having a little extra money for myself.,Once every three months,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"$50,000 – $59,999",35 – 44,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$50,000 – $59,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_26amOmxnwV0m4Zo,6302311,318,2018-03-22T13:45:26Z,2018-03-22T13:50:45Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,20,80,I feel that my contribution is enough. I would gladly donate again to this organization,Once every three months,No,Most of the time,Strong liberal,High school graduate,Never,Blue,Male,,"$70,000 – $79,999",35 – 44,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$70,000 – $79,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_2fxIUfeVF5u93nT,6718963,79,2018-03-22T13:52:08Z,2018-03-22T13:53:27Z,Crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat likely,9,91,give a little,Once every few years,No,Some of the time,"Independent, leaning liberal",4 year degree,Never,Blue,Female,,Prefer not to say,25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,BA and above,Rarely,,,Less than 35 – 44,Female
R_1o2aoPk2StiLaYQ,8481223,98,2018-03-22T13:52:58Z,2018-03-22T13:54:37Z,Crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Favorable,Very favorable,Neutral,Somewhat likely,1,99,I like money,Once a month,No,Some of the time,Liberal,High school graduate,Never,Blue,Male,,"$20,000 – $29,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Not favorable,At least once a month,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$20,000 – $29,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3PMMzTWbzgsngtN,5421868,642,2018-03-22T13:45:32Z,2018-03-22T13:56:14Z,No crackdown,Human rights,Private,Yes,"Green,Yellow",Favorable,Neutral,Neutral,Somewhat unlikely,0,100,I do not really know what they will do with the money.,Once a month,Yes,Most of the time,"Independent, leaning conservative",4 year degree,Never,Blue,Female,,"$20,000 – $29,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Not favorable,Not favorable,At least once a month,At least once a year,Often,Conservative,Not liberal,BA and above,Rarely,"$20,000 – $29,999","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_rroTNkIaprME9vr,3436587,197,2018-03-22T13:59:46Z,2018-03-22T14:03:03Z,Crackdown,Human rights,Private,Yes,"Green,Yellow",Unfavorable,Favorable,Neutral,Somewhat likely,29,71,I need the money to pay my bills. But I'm still willing to give what I can afford to help others maintain or gain human rights.,Once every six months,No,Only now and then,"Independent, leaning liberal",Some college,Never,Blue,Female,,"$50,000 – $59,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Not favorable,Favorable,Not favorable,Once a month-once a year,At least once a year,Not often,Liberal,Liberal,No BA,Rarely,"$50,000 – $59,999","At least $50,000 – $59,999",Less than 35 – 44,Female
