StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1_1,Q2.1_2,Q2.1_3,Q2.3,Q2.4_1,Q2.4_2,Q2.5,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.9_4_TEXT,Q3.10,Q3.11,mTurkCode,crackdown,issue,funding
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking “I agree” below you are indicating that you are at least 18 years old, have read and understood this consent form and agree to participate in this research study. Please print a copy of this page for your records.



I have read the above information, and I consent to take part in the study.","Please read the paragraph below carefully.

 
What is your favorite color? While we are interested in learning about your preferences on a variety of topics, including colors, we also want to make sure that you are reading the questions we have written. To demonstrate that you’ve read this much, just go ahead and select both green and yellow from among the alternatives listed below, no matter what your favorite color is. Yes, ignore the first sentence and select both green and yellow.",How do you feel about the following types of organizations? - Nonprofit organizations that provide humanitarian relief,How do you feel about the following types of organizations? - Nonprofit organizations that advocate for human rights,How do you feel about the following types of organizations? - Nonprofit organizations that help with development and alleviate poverty,How likely is it that you would donate to IRC?,"If you had an extra $100, how much would you be willing to donate to IRC right now?

(Must add to $100) - Donate to IRC","If you had an extra $100, how much would you be willing to donate to IRC right now?

(Must add to $100) - Keep for yourself",Why would you donate and keep that amount?,How often do you donate to charity (either cash or in-kind)?,Have you volunteered in the past 12 months?,"Some people seem to follow what’s going on in government and public 
affairs most of the time, whether there’s an election going on or not. 
Others aren’t that interested. Would you say that you follow what’s going on in government and public affairs…",How would you describe your political views?,What is the highest degree or level of school you have completed?,"Aside from weddings and funerals, how often do you attend religious services?",Please select blue from the following list:,What is your gender? - Selected Choice,What is your gender? - Other: - Text,What is your total annual household income?,How old are you?,mTurkCode,crackdown,issue,funding
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_4_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""crackdown""}","{""ImportId"":""issue""}","{""ImportId"":""funding""}"
2018-03-22 12:34:51,2018-03-22 12:35:49,IP Address,68.63.12.89,100,57,True,2018-03-22 12:35:49,R_DnJiufVSjzJ7YD7,,,,,31.150299072266,-85.411399841309,anonymous,EN,Yes,"Green,Yellow",Neutral,Neutral,Neutral,Somewhat unlikely,0,100,I am poor,Never,No,Hardly at all,"Independent, leaning liberal",4 year degree,Never,Blue,Male,,"$50,000 – $59,999",25 – 34,3589900,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 12:35:29,2018-03-22 12:36:50,IP Address,97.81.101.133,100,80,True,2018-03-22 12:36:50,R_RqaUQsWy9203Eo9,,,,,33.903305053711,-83.330596923828,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,0,100,I really feel like I deserve to treat myself recently. I have been working hard in my job and in school.,Once a year,No,Some of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$40,000 – $49,999",18 – 24,5435220,.,human rights for refugees,"individual, private donors"
2018-03-22 12:35:35,2018-03-22 12:37:05,IP Address,100.6.134.10,100,90,True,2018-03-22 12:37:06,R_3OrDOZqHQeoSWBn,,,,,40.378692626953,-79.971000671387,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat likely,10,90,I donate the amount that I usually would,Once a year,Yes,Hardly at all,Independent,4 year degree,Never,Blue,Male,,"Less than $10,000",25 – 34,8237444,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 12:36:52,2018-03-22 12:37:35,IP Address,74.109.219.133,100,42,True,2018-03-22 12:37:35,R_wWYajDGKs811aG5,,,,,40.404998779297,-79.974098205566,anonymous,EN,Yes,"Green,Yellow",Neutral,Favorable,Favorable,Somewhat unlikely,0,100,i'm poor,Once every few years,No,Only now and then,Independent,High school graduate,Never,Blue,Male,,"Less than $10,000",18 – 24,6080742,.,human rights for refugees,"individual, private donors"
2018-03-22 12:36:16,2018-03-22 12:39:16,IP Address,96.228.17.94,100,180,True,2018-03-22 12:39:17,R_0HAOstC4gqkldQZ,,,,,37.516006469727,-77.500503540039,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,10,90,"It is not a cause that is very important to me. i have other things that i would prefer to donate to. ",Once every six months,Yes,Some of the time,"Independent, leaning liberal",4 year degree,Once a week,Blue,Female,,"$30,000 – $39,999",45 – 54,8831516,.,humanitarian assistance for refugees,government donors
2018-03-22 12:39:08,2018-03-22 12:40:18,IP Address,98.250.0.192,100,69,True,2018-03-22 12:40:18,R_yRaR69ae3fo1XO1,,,,,42.942504882812,-85.616096496582,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,29,71,"I want to contribute to the cause, but also keep some of the money for myself",Once a month,Yes,Most of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$40,000 – $49,999",18 – 24,7485772,.,human rights for refugees,"individual, private donors"
2018-03-22 12:37:23,2018-03-22 12:40:18,IP Address,75.67.224.191,100,175,True,2018-03-22 12:40:19,R_6s3zndmsD6wHdHr,,,,,42.850204467773,-71.515502929688,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Favorable,Somewhat likely,20,80,"It's a reasonable amount of money for an individual to donate to an organization they are not terribly familiar with. It's enough to notice, but not enough to hurt.",Once every three months,Yes,Most of the time,Conservative,Some college,Never,Blue,Male,,"$100,000 – $149,999",35 – 44,7603385,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 12:39:08,2018-03-22 12:41:00,IP Address,73.182.224.118,100,112,True,2018-03-22 12:41:01,R_xi8SBaCSUFUOg9z,,,,,41.30940246582,-72.924003601074,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Very favorable,Extremely unlikely,0,100,I don't fully agree with their mission,Once every six months,No,Most of the time,Independent,4 year degree,Never,Blue,Male,,"$70,000 – $79,999",25 – 34,7602510,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
